"fee_row_id","student_id","student_name","month_key","month_label","fee_amount","amount_paid","balance_due","status","payment_date","payment_mode","payment_ref","reminder_sent","reminder_sent_date","notes"
"FEE-00001","STU-001","Aadhiya","2026-01","Jan 2026","80","80","0","Paid","2026-01-01T08:00:00.000Z","Cash","","False","",""
"FEE-00002","STU-001","Aadhiya","2026-02","Feb 2026","80","80","0","Paid","2026-02-02T08:00:00.000Z","Cash","","False","",""
"FEE-00003","STU-001","Aadhiya","2026-03","Mar 2026","80","80","0","Paid","2026-03-03T08:00:00.000Z","Cash","","False","",""
"FEE-00004","STU-002","Akshara","2026-01","Jan 2026","80","80","0","Paid","2026-01-04T08:00:00.000Z","Cash","","False","",""
"FEE-00005","STU-002","Akshara","2026-02","Feb 2026","80","80","0","Paid","2026-02-05T08:00:00.000Z","Cash","","False","",""
"FEE-00006","STU-002","Akshara","2026-03","Mar 2026","80","80","0","Paid","2026-03-01T08:00:00.000Z","Cash","","False","",""
"FEE-00007","STU-003","Ananya","2026-01","Jan 2026","80","80","0","Paid","2026-01-02T08:00:00.000Z","Cash","","False","",""
"FEE-00008","STU-003","Ananya","2026-02","Feb 2026","80","80","0","Paid","2026-02-03T08:00:00.000Z","Cash","","False","",""
"FEE-00009","STU-003","Ananya","2026-03","Mar 2026","80","80","0","Paid","2026-03-04T08:00:00.000Z","Cash","","False","",""
"FEE-00010","STU-004","Dhiruv","2026-01","Jan 2026","80","80","0","Paid","2026-01-05T08:00:00.000Z","Online","","False","",""
"FEE-00011","STU-004","Dhiruv","2026-02","Feb 2026","80","80","0","Paid","2026-02-01T08:00:00.000Z","Online","","False","",""
"FEE-00012","STU-004","Dhiruv","2026-03","Mar 2026","80","80","0","Paid","2026-03-02T08:00:00.000Z","Online","","False","",""
"FEE-00013","STU-005","Diya","2026-02","Feb 2026","80","80","0","Paid","2026-02-03T08:00:00.000Z","Online","","False","",""
"FEE-00014","STU-005","Diya","2026-03","Mar 2026","80","","80","Pending","","","","False","",""
"FEE-00015","STU-006","Honey","2026-01","Jan 2026","80","80","0","Paid","2026-01-05T08:00:00.000Z","Online","","False","",""
"FEE-00016","STU-006","Honey","2026-02","Feb 2026","80","","","Pending","","","","False","",""
"FEE-00017","STU-006","Honey","2026-03","Mar 2026","80","","","Pending","","","","False","",""
"FEE-00018","STU-007","Laya","2026-01","Jan 2026","80","80","0","Paid","2026-01-03T08:00:00.000Z","Cash","","False","",""
"FEE-00019","STU-007","Laya","2026-02","Feb 2026","80","80","0","Paid","2026-02-04T08:00:00.000Z","Cash","","False","",""
"FEE-00020","STU-007","Laya","2026-03","Mar 2026","80","80","0","Paid","2026-03-05T08:00:00.000Z","Cash","","False","",""
"FEE-00021","STU-009","Maya","2026-02","Feb 2026","80","","80","Pending","","","","False","",""
"FEE-00022","STU-009","Maya","2026-03","Mar 2026","80","","80","Pending","","","","False","",""
"FEE-00023","STU-010","Rhythm","2026-01","Jan 2026","80","80","0","Paid","2026-01-03T08:00:00.000Z","Cash","","False","",""
"FEE-00024","STU-010","Rhythm","2026-02","Feb 2026","80","","80","Pending","","","","False","",""
"FEE-00025","STU-010","Rhythm","2026-03","Mar 2026","80","","80","Pending","","","","False","",""
"FEE-00026","STU-011","Rushika","2026-01","Jan 2026","40","40","0","Paid","2026-01-01T08:00:00.000Z","Online","","False","",""
"FEE-00027","STU-011","Rushika","2026-02","Feb 2026","40","40","0","Paid","2026-02-02T08:00:00.000Z","Online","","False","",""
"FEE-00028","STU-011","Rushika","2026-03","Mar 2026","80","","80","Pending","","","","False","",""
"FEE-00029","STU-012","Sanvika","2026-02","Feb 2026","60","60","0","Paid","2026-02-04T08:00:00.000Z","Cash","","False","",""
"FEE-00030","STU-012","Sanvika","2026-03","Mar 2026","80","80","0","Paid","2026-03-05T08:00:00.000Z","Cash","","False","",""
"FEE-00031","STU-013","Vaishavi","2026-01","Jan 2026","80","80","0","Paid","2026-01-01T08:00:00.000Z","Cash","","False","",""
"FEE-00032","STU-013","Vaishavi","2026-02","Feb 2026","80","80","0","Paid","2026-02-02T08:00:00.000Z","Cash","","False","",""
"FEE-00033","STU-013","Vaishavi","2026-03","Mar 2026","80","80","0","Paid","2026-03-03T08:00:00.000Z","Cash","","False","",""
